symbol|left|top|right|bottom
1|0|996|108|1114
2|108|996|216|1114
3|216|996|324|1114
4|324|996|432|1114
5|432|996|540|1114
6|540|996|648|1114
7|648|996|756|1114
8|756|996|864|1114
9|864|996|972|1114
0|972|996|1080|1114
q|0|1114|108|1276
w|108|1114|216|1276
e|216|1114|324|1276
r|324|1114|432|1276
t|432|1114|540|1276
y|540|1114|648|1276
u|648|1114|756|1276
i|756|1114|864|1276
o|864|1114|972|1276
p|972|1114|1080|1276
a|54|1276|162|1438
s|162|1276|270|1438
d|270|1276|378|1438
f|378|1276|486|1438
g|486|1276|594|1438
h|594|1276|702|1438
j|702|1276|810|1438
k|810|1276|918|1438
l|918|1276|1026|1438
z|162|1438|270|1600
x|270|1438|378|1600
c|378|1438|486|1600
v|486|1438|594|1600
b|594|1438|702|1600
n|702|1438|810|1600
m|810|1438|918|1600
shift|0|1438|162|1600
back|918|1438|1080|1600
sym|0|1600|162|1776
,|162|1600|270|1776
space|270|1600|810|1776
.|810|1600|918|1776
enter|918|1600|1080|1776
